"Name","Organization","Homepage","Logo","Twitter","Crunchbase URL","Market Cap","Ticker","Funding","Member","Relation","License","Headquarters","Latest Tweet Date","Description","Crunchbase Description","Crunchbase Homepage","Crunchbase City","Crunchbase Region","Crunchbase Country","Crunchbase Twitter","Crunchbase Linkedin","Crunchbase Ticker","Crunchbase Kind","Crunchbase Min Employees","Crunchbase Max Employees","Category","Subcategory","OSS","Github Repo","Github Stars","Github Description","Github Latest Commit Date","Github Latest Commit Link","Github Release Date","Github Release Link","Github Start Commit Date","Github Start Commit Link","Github Contributors Count","Github Contributors Link"
"Helm","Cloud Native Computing Foundation (CNCF)","https://helm.sh/","https://landscape.cncf.io/logos/helm.svg","https://twitter.com/helmpack","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-21 15:16:01","The Kubernetes Package Manager","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"App Definition and Development","Application Definition & Image Build",true,"https://github.com/helm/helm",9251,"The Kubernetes Package Manager","","https://github.com/helm/helm/commit/c82c0b6046b852f449dcaae768ba57331116dc87","",,"2015-11-02 23:52:56","https://github.com/helm/helm/commit/94db53d0803034083a3a9b1c7a9a197c327eb6b0",418,"https://github.com/helm/helm/graphs/contributors"
"Jaeger","Cloud Native Computing Foundation (CNCF)","https://www.jaegertracing.io/","https://landscape.cncf.io/logos/jaeger.svg","https://twitter.com/JaegerTracing","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-26 23:08:27","CNCF Jaeger, a Distributed Tracing System","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Observability and Analysis","Tracing",true,"https://github.com/jaegertracing/jaeger",6792,"CNCF Jaeger, a Distributed Tracing System","","https://github.com/jaegertracing/jaeger/commit/eed786f3345b276e194cfe900daaaa66df34078f","",,"2016-04-18 22:22:11","https://github.com/jaegertracing/jaeger/commit/4dc35c9e83518c339cbf0bc52c7b39cd028e7659",67,"https://github.com/jaegertracing/jaeger/graphs/contributors"
"Linkerd","Cloud Native Computing Foundation (CNCF)","https://linkerd.io/","https://landscape.cncf.io/logos/linkerd.svg","https://twitter.com/linkerd","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-22 05:41:49","A service mesh for Kubernetes and beyond. Main repo for Linkerd 1.x.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Orchestration & Management","Service Mesh",true,"https://github.com/linkerd/linkerd",4816,"A service mesh for Kubernetes and beyond. Main repo for Linkerd 1.x.","","https://github.com/linkerd/linkerd/commit/6702ab00c1baf025a7695dcab8208be6330d98f5","",,"2016-01-13 22:17:47","https://github.com/linkerd/linkerd/commit/37e38f2a892d9354eea7305135aa6370612b02f2",88,"https://github.com/linkerd/linkerd/graphs/contributors"
"NATS","Cloud Native Computing Foundation (CNCF)","https://nats.io/","https://landscape.cncf.io/logos/nats.svg","https://twitter.com/nats_io","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-22 14:07:56","High-Performance server for NATS, the cloud native messaging system.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"App Definition and Development","Streaming & Messaging",true,"https://github.com/nats-io/gnatsd",5034,"High-Performance server for NATS, the cloud native messaging system.","","https://github.com/nats-io/gnatsd/commit/9e215b6218aa1d5b1393342c14398dafa452033d","",,"2012-10-29 16:12:25","https://github.com/nats-io/gnatsd/commit/6c33e7b1607eee12533e7e9aa952cdf70a7bc24b",53,"https://github.com/nats-io/gnatsd/graphs/contributors"
"Notary","Cloud Native Computing Foundation (CNCF)","https://github.com/theupdateframework/notary","https://landscape.cncf.io/logos/notary.svg","https://twitter.com/cloudnativefdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-26 22:12:37","Notary is a project that allows anyone to have trust over arbitrary collections of data","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Provisioning","Security & Compliance",true,"https://github.com/theupdateframework/notary",1639,"Notary is a project that allows anyone to have trust over arbitrary collections of data","","https://github.com/theupdateframework/notary/commit/6e8cc6e54bb1fb140c97698993509aa5dfb1b9b8","2017-08-28 22:31:30","https://github.com/theupdateframework/notary/releases","2015-03-27 22:57:48","https://github.com/theupdateframework/notary/commit/495dce997d6353738e1f115b0d2b24fc880c959e",60,"https://github.com/theupdateframework/notary/graphs/contributors"
"OpenTracing","Cloud Native Computing Foundation (CNCF)","https://opentracing.io/","https://landscape.cncf.io/logos/open-tracing.svg","https://twitter.com/opentracing","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-10 04:46:18","OpenTracing API for Go","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Observability and Analysis","Tracing",true,"https://github.com/opentracing/opentracing-go",1503,"OpenTracing API for Go","","https://github.com/opentracing/opentracing-go/commit/8b5a441dc60e8d9bb9bf9d22060b6d94fa599983","2017-02-06 22:16:52","https://github.com/opentracing/opentracing-go/releases","2015-11-26 06:23:17","https://github.com/opentracing/opentracing-go/commit/3089998b243182f7b28fbbad3229e0fad871ecbf",36,"https://github.com/opentracing/opentracing-go/graphs/contributors"
"rkt","Cloud Native Computing Foundation (CNCF)","https://github.com/rkt/rkt","https://landscape.cncf.io/logos/rkt.svg","https://twitter.com/cloudnativefdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-26 22:12:37","rkt is a pod-native container engine for Linux. It is composable, secure, and built on standards.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Runtime","Container Runtime",true,"https://github.com/rkt/rkt",8361,"rkt is a pod-native container engine for Linux. It is composable, secure, and built on standards.","","https://github.com/rkt/rkt/commit/03285a7db960311faf887452538b2b8ae4304488","",,"2014-01-19 20:25:11","https://github.com/rkt/rkt/commit/054de85da2173bb7857ed08032375fb643efeeac",194,"https://github.com/rkt/rkt/graphs/contributors"
"Rook","Cloud Native Computing Foundation (CNCF)","https://rook.io/","https://landscape.cncf.io/logos/rook.svg","https://twitter.com/rook_io","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-21 01:18:03","Storage Orchestration for Kubernetes","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Runtime","Cloud-Native Storage",true,"https://github.com/rook/rook",4024,"Storage Orchestration for Kubernetes","","https://github.com/rook/rook/commit/c6b25b75461e5f059e830f6af78a56eb0f8559ff","",,"2016-07-08 22:44:29","https://github.com/rook/rook/commit/31bd4e46f5e7f1fcc38c4dc6ffe81e7a8d666458",110,"https://github.com/rook/rook/graphs/contributors"
"The Update Framework (TUF)","Cloud Native Computing Foundation (CNCF)","https://theupdateframework.github.io/","https://landscape.cncf.io/logos/the-update-framework-tuf.svg","https://twitter.com/cloudnativefdn","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Other","San Francisco, California","2018-12-26 22:12:37","A framework for securing software update systems","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"Provisioning","Security & Compliance",true,"https://github.com/theupdateframework/tuf",816,"A framework for securing software update systems","","https://github.com/theupdateframework/tuf/commit/d910c0865a83fda735b4cdd595c711e69c837974","",,"2013-01-31 18:54:15","https://github.com/theupdateframework/tuf/commit/0fb43a5e36f40ae7fccd2128e5e0bbb401b3111a",34,"https://github.com/theupdateframework/tuf/graphs/contributors"
"Vitess","Cloud Native Computing Foundation (CNCF)","https://vitess.io/","https://landscape.cncf.io/logos/vitess.svg","https://twitter.com/vitessio","https://www.crunchbase.com/organization/cloud-native-computing-foundation",,,,"cncf","incubating","Apache License 2.0","San Francisco, California","2018-12-21 22:33:37","Vitess is a database clustering system for horizontal scaling of MySQL.","CNCF is an open source software foundation that hosts and nurtures projects like Kubernetes and Prometheus.","https://www.cncf.io/","San Francisco","California","United States","https://twitter.com/cloudnativefdn","https://www.linkedin.com/company/cloud-native-computing-foundation",,,11,50,"App Definition and Development","Database",true,"https://github.com/vitessio/vitess",7223,"Vitess is a database clustering system for horizontal scaling of MySQL.","","https://github.com/vitessio/vitess/commit/b90b3c0bee9198c345702cce56c31fd69505c334","2018-12-12 20:09:00","https://github.com/vitessio/vitess/releases","2012-02-25 07:19:43","https://github.com/vitessio/vitess/commit/8d483dc19ef660938bae3564af95d48a8017275f",140,"https://github.com/vitessio/vitess/graphs/contributors"
